# b = sin(t/P) + noise
# rv = 0.8 * b + noise
# error = 0.1 + N(0, 0.01)
# columns are t rv error b
10.000	-0.153	0.100	-0.192
10.101	-0.482	0.091	-0.602
10.202	-0.611	0.113	-0.764
10.303	-0.723	0.091	-0.904
10.404	-0.614	0.106	-0.767
10.505	-0.664	0.111	-0.830
10.606	-0.375	0.108	-0.469
10.707	-0.196	0.108	-0.245
10.808	0.028	0.105	0.035
10.909	0.172	0.096	0.215
11.010	0.652	0.110	0.815
11.111	0.840	0.092	1.050
11.212	0.738	0.095	0.922
11.313	0.827	0.094	1.034
11.414	0.651	0.117	0.814
11.515	0.588	0.113	0.735
11.616	0.308	0.096	0.385
11.717	0.057	0.084	0.071
11.818	-0.316	0.106	-0.395
11.919	-0.631	0.101	-0.789
12.020	-0.540	0.102	-0.675
12.121	-0.765	0.109	-0.957
12.222	-0.819	0.110	-1.024
12.323	-0.638	0.101	-0.798
12.424	-0.458	0.097	-0.573
12.525	-0.152	0.084	-0.189
12.626	0.065	0.107	0.081
12.727	0.364	0.105	0.456
12.828	0.605	0.100	0.756
12.929	0.692	0.105	0.865
13.030	0.695	0.095	0.869
13.131	0.926	0.107	1.157
13.232	0.546	0.098	0.683
13.333	0.582	0.107	0.728
13.434	0.132	0.089	0.166
13.535	-0.082	0.091	-0.102
13.636	-0.314	0.107	-0.393
13.737	-0.390	0.089	-0.488
13.838	-0.601	0.119	-0.751
13.939	-0.795	0.101	-0.994
14.040	-0.591	0.115	-0.739
14.141	-0.483	0.089	-0.604
14.242	-0.385	0.093	-0.481
14.343	-0.334	0.121	-0.418
14.444	0.259	0.085	0.324
14.545	0.261	0.094	0.326
14.646	0.678	0.089	0.848
14.747	0.639	0.093	0.799
14.848	0.805	0.102	1.006
14.949	0.817	0.098	1.022
15.051	0.551	0.099	0.688
15.152	0.356	0.101	0.445
15.253	0.006	0.116	0.007
15.354	-0.130	0.118	-0.162
15.455	-0.522	0.118	-0.652
15.556	-0.615	0.105	-0.768
15.657	-0.835	0.100	-1.043
15.758	-0.814	0.104	-1.017
15.859	-0.712	0.093	-0.889
15.960	-0.560	0.092	-0.700
16.061	-0.396	0.089	-0.495
16.162	-0.102	0.096	-0.127
16.263	0.098	0.104	0.122
16.364	0.540	0.108	0.675
16.465	0.627	0.090	0.784
16.566	0.752	0.106	0.941
16.667	0.799	0.087	0.999
16.768	0.727	0.104	0.909
16.869	0.597	0.099	0.746
16.970	0.390	0.088	0.488
17.071	0.031	0.097	0.039
17.172	-0.319	0.108	-0.398
17.273	-0.526	0.110	-0.657
17.374	-0.623	0.111	-0.778
17.475	-0.549	0.112	-0.686
17.576	-0.837	0.110	-1.046
17.677	-0.776	0.119	-0.969
17.778	-0.459	0.108	-0.574
17.879	-0.279	0.088	-0.349
17.980	-0.030	0.086	-0.038
18.081	0.145	0.108	0.181
18.182	0.494	0.094	0.617
18.283	0.596	0.108	0.745
18.384	0.893	0.094	1.116
18.485	0.705	0.104	0.881
18.586	0.826	0.100	1.033
18.687	0.594	0.097	0.742
18.788	0.246	0.126	0.307
18.889	0.144	0.110	0.180
18.990	-0.234	0.084	-0.293
19.091	-0.471	0.116	-0.589
19.192	-0.722	0.102	-0.902
19.293	-0.886	0.098	-1.108
19.394	-0.795	0.097	-0.994
19.495	-0.740	0.081	-0.925
19.596	-0.600	0.100	-0.750
19.697	-0.298	0.103	-0.372
19.798	0.224	0.113	0.280
19.899	0.484	0.107	0.605
20.000	0.514	0.115	0.642
