# b = sin(t/P1) + noise; c = sin(t/P2) + noise
# rv = 0.8 * b - 0.3 * c + noise
# error = 0.1 + N(0, 0.01)
# columns are t rv error b 0 c
10.000	-0.117	0.095	-0.387	0.000	-0.383
10.101	-0.334	0.101	-0.570	0.000	-0.470
10.202	-0.517	0.085	-0.879	0.000	-0.695
10.303	-0.372	0.107	-0.838	0.000	-0.789
10.404	-0.530	0.096	-0.935	0.000	-0.891
10.505	-0.323	0.123	-0.746	0.000	-0.855
10.606	-0.007	0.102	-0.388	0.000	-1.017
10.707	0.088	0.095	-0.299	0.000	-1.022
10.808	0.104	0.097	-0.117	0.000	-1.004
10.909	0.560	0.111	0.283	0.000	-1.038
11.010	0.701	0.107	0.565	0.000	-0.881
11.111	0.905	0.106	0.913	0.000	-0.732
11.212	1.101	0.089	1.064	0.000	-0.761
11.313	0.878	0.099	0.887	0.000	-0.491
11.414	0.835	0.110	0.810	0.000	-0.554
11.515	0.485	0.115	0.536	0.000	-0.084
11.616	0.257	0.093	0.283	0.000	-0.065
11.717	0.052	0.101	-0.102	0.000	-0.243
11.818	-0.455	0.091	-0.403	0.000	0.186
11.919	-0.602	0.094	-0.593	0.000	0.270
12.020	-0.870	0.094	-0.754	0.000	0.571
12.121	-0.828	0.103	-0.813	0.000	0.615
12.222	-1.122	0.099	-1.087	0.000	0.866
12.323	-0.981	0.100	-0.868	0.000	0.913
12.424	-0.767	0.093	-0.646	0.000	0.835
12.525	-0.638	0.096	-0.387	0.000	1.030
12.626	-0.369	0.097	0.095	0.000	1.201
12.727	0.146	0.092	0.479	0.000	0.883
12.828	0.210	0.108	0.608	0.000	1.054
12.929	0.511	0.099	0.945	0.000	0.805
13.030	0.733	0.093	1.122	0.000	0.886
13.131	0.348	0.086	0.861	0.000	0.729
13.232	0.207	0.077	0.504	0.000	0.591
13.333	0.286	0.098	0.541	0.000	0.471
13.434	0.066	0.103	0.195	0.000	0.398
13.535	-0.078	0.093	-0.052	0.000	0.124
13.636	-0.294	0.085	-0.421	0.000	-0.151
13.737	-0.495	0.107	-0.729	0.000	-0.093
13.838	-0.645	0.099	-0.944	0.000	-0.224
13.939	-0.568	0.080	-0.955	0.000	-0.357
14.040	-0.716	0.091	-1.038	0.000	-0.580
14.141	-0.486	0.105	-0.813	0.000	-0.624
14.242	-0.248	0.105	-0.624	0.000	-0.717
14.343	0.009	0.084	-0.244	0.000	-0.930
14.444	0.365	0.096	0.038	0.000	-0.792
14.545	0.801	0.092	0.592	0.000	-0.915
14.646	0.997	0.079	0.681	0.000	-1.250
14.747	1.084	0.114	1.030	0.000	-0.784
14.848	1.047	0.108	1.107	0.000	-0.834
14.949	0.940	0.105	0.795	0.000	-0.860
15.051	0.493	0.102	0.548	0.000	-0.659
15.152	0.620	0.084	0.410	0.000	-0.710
15.253	0.312	0.096	0.211	0.000	-0.398
15.354	0.058	0.098	-0.104	0.000	-0.444
15.455	-0.412	0.105	-0.662	0.000	-0.262
15.556	-0.634	0.084	-0.793	0.000	0.025
15.657	-0.698	0.095	-0.928	0.000	0.201
15.758	-1.010	0.103	-1.145	0.000	0.209
15.859	-0.894	0.108	-0.930	0.000	0.425
15.960	-0.629	0.089	-0.623	0.000	0.660
16.061	-0.431	0.107	-0.277	0.000	0.617
16.162	-0.358	0.099	-0.156	0.000	0.755
16.263	-0.021	0.090	0.272	0.000	0.831
16.364	0.024	0.093	0.359	0.000	1.020
16.465	0.329	0.090	0.848	0.000	1.154
16.566	0.574	0.114	0.984	0.000	0.944
16.667	0.388	0.101	0.935	0.000	0.888
16.768	0.790	0.094	1.231	0.000	0.964
16.869	0.315	0.101	0.738	0.000	0.910
16.970	0.123	0.080	0.454	0.000	0.809
17.071	-0.007	0.108	0.110	0.000	0.740
17.172	-0.317	0.088	-0.235	0.000	0.599
17.273	-0.494	0.111	-0.511	0.000	0.432
17.374	-0.820	0.103	-0.888	0.000	0.439
17.475	-0.792	0.088	-1.003	0.000	-0.047
17.576	-0.741	0.101	-0.988	0.000	-0.016
17.677	-0.684	0.117	-0.912	0.000	-0.084
17.778	-0.594	0.111	-0.832	0.000	-0.354
17.879	-0.124	0.101	-0.407	0.000	-0.558
17.980	0.088	0.098	-0.102	0.000	-0.685
18.081	0.451	0.108	0.210	0.000	-0.803
18.182	0.787	0.081	0.643	0.000	-0.765
18.283	0.856	0.091	0.726	0.000	-0.871
18.384	1.088	0.097	1.036	0.000	-1.109
18.485	1.016	0.125	0.997	0.000	-0.960
18.586	1.193	0.123	1.063	0.000	-0.936
18.687	0.898	0.119	0.707	0.000	-0.951
18.788	0.431	0.112	0.212	0.000	-0.889
18.889	0.231	0.115	-0.104	0.000	-0.877
18.990	0.042	0.090	-0.192	0.000	-0.626
19.091	-0.325	0.098	-0.627	0.000	-0.615
19.192	-0.751	0.092	-1.025	0.000	-0.396
19.293	-0.724	0.108	-0.964	0.000	-0.338
19.394	-0.827	0.090	-1.071	0.000	-0.168
19.495	-0.704	0.100	-0.860	0.000	-0.075
19.596	-0.566	0.096	-0.695	0.000	0.105
19.697	-0.474	0.104	-0.431	0.000	0.366
19.798	-0.177	0.099	-0.007	0.000	0.478
19.899	-0.011	0.104	0.321	0.000	0.577
20.000	0.332	0.090	0.577	0.000	0.653
